Nr,x1,x2
1,0.858479,0.535558
2,-0.637351,0.887214
3,-0.0702777,0.28901
4,-0.52344,-0.195445
5,-0.446871,-0.321775
6,0.675352,0.967419
7,-0.0781427,0.322887
8,0.68124,-0.609433
9,0.794348,0.270832
10,0.971507,-0.409407
11,-0.814417,-0.831532
12,0.772813,-0.5494
13,0.980182,0.618679
14,0.262726,-0.195266
15,-0.194557,-0.62033
16,-0.113514,-0.535179
17,0.0935603,-0.406492
18,-0.378146,-0.923242
19,-0.530822,0.1458
20,-0.121729,-0.91257
21,-0.698905,-0.644941
22,0.70886,0.840264
23,-0.824219,-0.378378
24,-0.461925,0.816515
25,0.0512721,0.826917
26,-0.348247,-0.0368373
27,-0.973081,0.109801
28,0.891511,-0.406484
29,0.401268,-0.357393
30,0.6216,0.230854
31,0.763403,-0.177949
32,0.662025,-0.145411
33,-0.05064,0.926097
34,-0.31815,0.262511
35,-0.174811,-0.750149
36,-0.711975,-0.42345
37,-0.486347,0.988577
38,0.92425,0.319363
39,-0.45532,-0.698099
40,0.540329,-0.668371
41,0.304818,-0.239561
42,-0.509143,0.894841
43,0.737761,-0.0712832
44,0.475628,-0.546445
45,0.463192,0.396098
46,0.185558,-0.61507
47,-0.773249,-0.565766
48,0.856568,0.791619
49,-0.882052,0.944069
50,0.592213,0.669771
51,0.825131,-0.825102
52,-0.383309,-0.519956
53,0.974682,0.425434
54,0.177569,0.251254
55,-0.68776,0.190999
56,0.445433,0.905431
57,-0.559201,-0.637057
58,-0.225065,-0.704688
59,0.581653,0.301582
60,-0.0147105,0.70754
61,0.746531,-0.0429702
62,-0.194435,0.525983
63,-0.108543,0.228106
64,0.820056,0.408418
65,0.804244,0.371803
66,0.108385,0.499397
67,0.524655,0.228696
68,0.351409,0.578161
69,-0.187097,-0.113773
70,-0.512196,-0.107737
71,-0.396499,-0.159483
72,-0.837228,0.920524
73,-0.781351,-0.41122
74,-0.640232,-0.78727
75,0.750879,0.170837
76,-0.852226,0.180748
77,0.109614,-0.076129
78,0.731671,-0.279664
79,-0.555316,0.254306
80,0.346275,-0.782709
81,0.699676,-0.172467
82,0.361604,-0.344727
83,0.668973,0.0721013
84,-0.878482,0.0486122
85,-0.338239,-0.836143
86,-0.273199,-0.604307
87,0.0306753,0.954249
88,-0.299941,-0.179489
89,0.708406,-0.978203
90,-0.89463,-0.909518
91,0.540338,-0.796107
92,-0.0346256,-0.182203
93,-0.413878,-0.831281
94,-0.929149,-0.66908
95,0.825076,0.306134
96,0.83592,-0.857804
97,-0.314369,-0.640885
98,-0.217353,0.540677
99,0.497323,0.640397
100,0.224269,0.574388
