t,alpha,omega
0,0,0
0.1,0.00218208,0.0432605
0.2,0.00857684,0.0842633
0.3,0.0189614,0.123067
0.4,0.0331188,0.159729
0.5,0.0508377,0.194308
0.6,0.0719129,0.226863
0.7,0.0961447,0.257451
0.8,0.123339,0.28613
0.9,0.153309,0.312958
1,0.185871,0.337992
1.1,0.220849,0.361288
1.2,0.258073,0.382903
1.3,0.297376,0.402892
1.4,0.338599,0.421311
1.5,0.381587,0.438213
1.6,0.426193,0.453654
1.7,0.472271,0.467685
1.8,0.519684,0.480359
1.9,0.568299,0.491727
2,0.617988,0.501841
2.1,0.668627,0.510749
2.2,0.720099,0.518502
2.3,0.772291,0.525146
2.4,0.825093,0.53073
2.5,0.878403,0.535299
2.6,0.932121,0.538899
2.7,0.986152,0.541573
2.8,1.04041,0.543366
2.9,1.0948,0.544319
3,1.14924,0.544475
3.1,1.20367,0.543872
3.2,1.25799,0.542551
3.3,1.31215,0.540551
3.4,1.36608,0.537907
3.5,1.41972,0.534657
3.6,1.47299,0.530836
3.7,1.52586,0.526477
3.8,1.57827,0.521616
3.9,1.63017,0.516282
4,1.68152,0.510509
4.1,1.73226,0.504326
4.2,1.78237,0.497763
4.3,1.8318,0.490848
4.4,1.88053,0.483608
4.5,1.92851,0.47607
4.6,1.97573,0.468259
4.7,2.02216,0.460201
4.8,2.06776,0.451918
4.9,2.11253,0.443433
5,2.15644,0.434769
5.1,2.19948,0.425947
5.2,2.24163,0.416986
5.3,2.28287,0.407906
5.4,2.32321,0.398726
5.5,2.36262,0.389463
5.6,2.4011,0.380134
5.7,2.43864,0.370756
5.8,2.47525,0.361344
5.9,2.51091,0.351912
6,2.54563,0.342475
6.1,2.57941,0.333046
6.2,2.61224,0.323638
6.3,2.64413,0.314261
6.4,2.67509,0.304929
6.5,2.70512,0.29565
6.6,2.73423,0.286436
6.7,2.76241,0.277296
6.8,2.78969,0.268238
6.9,2.81606,0.259271
7,2.84155,0.250403
7.1,2.86615,0.24164
7.2,2.88988,0.23299
7.3,2.91275,0.224458
7.4,2.93477,0.216051
7.5,2.95596,0.207773
7.6,2.97633,0.19963
7.7,2.99589,0.191626
7.8,3.01466,0.183765
7.9,3.03265,0.17605
8,3.04988,0.168484
8.1,3.06635,0.161071
8.2,3.0821,0.153813
8.3,3.09712,0.146712
8.4,3.11144,0.139769
8.5,3.12508,0.132987
8.6,3.13805,0.126366
8.7,3.15036,0.119908
8.8,3.16203,0.113613
8.9,3.17309,0.107481
9,3.18354,0.101512
9.1,3.1934,0.0957074
9.2,3.20268,0.0900656
9.3,3.21141,0.0845865
9.4,3.21961,0.0792693
9.5,3.22727,0.0741131
9.6,3.23443,0.0691168
9.7,3.2411,0.0642793
9.8,3.24729,0.059599
9.9,3.25303,0.0550744
10,3.25831,0.0507039
10.1,3.26317,0.0464856
10.2,3.26762,0.0424177
10.3,3.27166,0.038498
10.4,3.27532,0.0347245
10.5,3.27861,0.0310949
10.6,3.28154,0.0276069
10.7,3.28414,0.0242581
10.8,3.2864,0.0210461
10.9,3.28835,0.0179683
11,3.29,0.0150222
11.1,3.29136,0.012205
11.2,3.29244,0.00951419
11.3,3.29327,0.006947
11.4,3.29384,0.00450069
11.5,3.29417,0.00217248
11.6,3.29428,-4.04152e-05
11.7,3.29417,-0.00214082
11.8,3.29385,-0.00413154
11.9,3.29334,-0.00601543
12,3.29265,-0.0077953
12.1,3.29179,-0.00947401
12.2,3.29076,-0.0110544
12.3,3.28958,-0.0125392
12.4,3.28826,-0.0139313
12.5,3.2868,-0.0152335
12.6,3.28521,-0.0164485
12.7,3.28351,-0.0175792
12.8,3.2817,-0.0186282
12.9,3.27979,-0.0195982
13,3.27778,-0.020492
13.1,3.27569,-0.0213121
13.2,3.27352,-0.0220612
13.3,3.27128,-0.0227419
13.4,3.26898,-0.0233566
13.5,3.26661,-0.023908
13.6,3.2642,-0.0243984
13.7,3.26173,-0.0248302
13.8,3.25923,-0.025206
13.9,3.25669,-0.0255279
14,3.25413,-0.0257984
14.1,3.25154,-0.0260195
14.2,3.24893,-0.0261936
14.3,3.2463,-0.0263228
14.4,3.24366,-0.0264091
14.5,3.24102,-0.0264547
14.6,3.23837,-0.0264615
14.7,3.23573,-0.0264316
14.8,3.23309,-0.0263668
14.9,3.23046,-0.0262689
15,3.22783,-0.0261399
15.1,3.22523,-0.0259814
15.2,3.22264,-0.0257952
15.3,3.22007,-0.0255829
15.4,3.21752,-0.0253461
15.5,3.215,-0.0250865
15.6,3.21251,-0.0248056
15.7,3.21004,-0.0245047
15.8,3.20761,-0.0241854
15.9,3.2052,-0.023849
16,3.20284,-0.0234969
16.1,3.20051,-0.0231303
16.2,3.19821,-0.0227504
16.3,3.19596,-0.0223585
16.4,3.19374,-0.0219558
16.5,3.19157,-0.0215433
16.6,3.18943,-0.021122
16.7,3.18734,-0.0206931
