Nr,s,x1_start,x2_start,x1_opt,x2_opt,f_opt,f_calls,flag
1,0.1,-1.73073,-1.65557,-1.54792,-1.54776,4.95711,70,1
2,0.1,1.60014,-0.144689,1.54857,0.000623822,2.47856,64,1
3,0.1,1.97884,-1.36789,1.54916,-1.54914,4.95712,90,1
4,0.1,-0.605761,-1.2916,-0.774511,-0.774415,1.23968,107,1
5,0.1,-1.46494,-0.879609,-1.54776,-0.774922,3.0984,72,1
6,0.1,-1.96206,1.07305,-1.54799,0.774615,3.09839,86,1
7,0.1,-1.33095,-0.530511,-1.54814,-0.774261,3.09839,82,1
8,0.1,-1.0807,-1.88517,-0.774447,-1.54767,3.0984,76,1
9,0.1,-1.36921,0.4701,-1.5489,0.774788,3.09839,78,1
10,0.1,-1.02913,-0.724112,-0.774438,-0.774112,1.23969,80,1
11,0.1,1.69424,1.65158,1.54893,1.54845,4.9571,66,1
12,0.1,1.06854,-0.260223,0.774795,0.000714354,0.619854,87,1
13,0.1,0.612531,-1.67655,0.775031,-1.54842,3.09839,79,1
14,0.1,-1.92549,0.15461,-1.54893,-7.78836e-05,2.47855,94,1
15,0.1,-1.07755,-0.63681,-0.774423,-0.77431,1.23968,72,1
16,0.1,0.00938242,-1.05164,7.41603e-06,-0.775075,0.619841,80,1
17,0.1,-1.43049,1.53473,-1.54768,1.5488,4.95711,65,1
18,0.1,0.563424,1.75164,0.774362,1.54852,3.09839,73,1
19,0.1,1.99348,-0.914873,1.54817,-0.774248,3.09839,97,1
20,0.1,1.15675,-1.67567,0.773937,-1.54911,3.09842,104,1
21,0.1,-0.799074,-1.62349,-0.774074,-1.54849,3.0984,43,1
22,0.1,0.605239,1.96566,0.773989,1.54847,3.0984,96,1
23,0.1,0.287856,-0.315758,0.0003559,-0.000133315,4.59926e-06,79,1
24,0.1,0.502297,0.244792,0.774172,-0.000520943,0.619855,88,1
25,0.1,1.63865,1.12681,1.54802,0.775251,3.09839,90,1
26,0.1,-1.41854,0.614284,-1.54823,0.775222,3.09839,87,1
27,0.1,-0.694679,-0.974582,-0.774367,-0.774582,1.23968,65,1
28,0.1,0.419219,-0.507256,0.775469,-0.774444,1.23969,93,1
29,0.1,-0.55538,0.0118447,-0.77413,-0.000655252,0.619862,68,1
30,0.1,-0.937884,-0.459339,-0.775384,3.58073e-05,0.619851,99,1
31,0.1,1.53078,-0.0531904,1.54796,-6.5446e-05,2.47855,81,1
32,0.1,-1.72487,-1.29988,-1.54831,-1.54832,4.95709,65,1
33,0.1,-1.22822,0.66957,-0.775096,0.774258,1.23969,93,1
34,0.1,-1.04496,-0.497985,-0.774648,-0.774548,1.23968,86,1
35,0.1,-0.867438,0.0507506,-0.77525,0.000750568,0.619864,66,1
36,0.1,1.70036,-1.41153,1.5488,-1.54903,4.95711,82,1
37,0.1,-0.413686,1.40692,0.000376284,1.54911,2.47856,99,1
38,0.1,-0.587687,0.676272,-0.775187,0.77471,1.23968,67,1
39,0.1,1.95871,-0.255796,1.54778,0.000454191,2.47856,96,1
40,0.1,1.44085,0.263772,1.54867,-0.000290449,2.47855,88,1
41,0.1,-1.73615,0.689933,-1.54865,0.774308,3.09839,65,1
42,0.1,-0.539897,1.88636,-0.774272,1.54886,3.09839,82,1
43,0.1,-0.916162,0.0816738,-0.773974,0.000423789,0.61986,79,1
44,0.1,-0.875448,-0.103933,-0.775448,0.000754685,0.619872,57,1
45,0.1,-1.22974,-0.168279,-0.775053,0.000470606,0.619848,99,1
46,0.1,1.96462,0.909528,1.549,0.775153,3.0984,97,1
47,0.1,-0.965624,0.799263,-0.774999,0.774263,1.23968,74,1
48,0.1,1.61222,1.00974,1.54816,0.77536,3.0984,81,1
49,0.1,-0.640305,0.663606,-0.77468,0.774544,1.23968,73,1
50,0.1,-1.14429,0.36345,-0.773979,-0.000612943,0.619866,93,1
51,0.1,1.7065,-1.26871,1.54869,-0.77496,3.09839,101,1
52,0.1,-0.266482,0.652121,0.000705312,0.773996,0.619869,93,1
53,0.1,-0.464213,-1.54278,-0.77515,-1.54903,3.0984,84,1
54,0.1,-0.0496896,0.757537,0.000310383,0.774724,0.61984,73,1
55,0.1,-1.17738,-0.588663,-0.77426,-0.7746,1.23968,86,1
56,0.1,1.2074,1.37742,1.54803,1.54773,4.95711,92,1
57,0.1,-1.24406,0.150927,-0.775315,-0.000635838,0.619861,94,1
58,0.1,-0.326824,-0.427009,-0.000261565,-0.000446113,8.51572e-06,82,1
59,0.1,-1.48192,0.384313,-1.54911,0.774938,3.0984,101,1
60,0.1,1.41808,1.27701,1.54777,1.54888,4.95711,85,1
61,0.1,1.95592,1.62182,1.54811,1.54838,4.95709,106,1
62,0.1,0.806627,-0.477452,0.775377,-0.774327,1.23969,90,1
63,0.1,1.27791,-0.947895,1.54823,-0.774458,3.09838,84,1
64,0.1,1.21123,1.40946,1.54873,1.54852,4.95709,77,1
65,0.1,-0.112657,1.91023,-0.000157167,1.54773,2.47856,82,1
66,0.1,0.755424,-0.494812,0.774174,-0.7745,1.23969,74,1
67,0.1,0.549657,0.526091,0.774657,0.774529,1.23968,63,1
68,0.1,0.956827,-0.914078,0.774015,-0.775015,1.23969,88,1
69,0.1,1.34153,1.42472,1.54778,1.54815,4.9571,72,1
70,0.1,0.188042,-0.913632,0.000542407,-0.77457,0.619847,65,1
71,0.1,-1.38536,-0.574313,-1.54786,-0.774313,3.0984,67,1
72,0.1,-1.75141,-0.923738,-1.54829,-0.775301,3.09839,64,1
73,0.1,0.471161,0.834374,0.774286,0.774999,1.23968,79,1
74,0.1,1.25288,1.31007,1.54819,1.54914,4.95711,85,1
75,0.1,-1.70692,0.4903,-1.54911,0.774675,3.0984,93,1
76,0.1,-1.83421,0.28369,-1.54828,-0.000684773,2.47856,86,1
77,0.1,-1.7629,-0.695038,-1.54883,-0.774726,3.09839,79,1
78,0.1,-0.00994448,0.892044,-0.000569483,0.774856,0.619848,74,1
79,0.1,0.429454,0.713541,0.774766,0.774478,1.23968,78,1
80,0.1,0.0313496,1.92821,9.96129e-05,1.54852,2.47855,97,1
81,0.1,-1.71107,-1.68508,-1.54857,-1.54914,4.95711,71,1
82,0.1,0.373786,-1.60456,0.775348,-1.54831,3.09839,78,1
83,0.1,-0.882058,-1.68541,-0.774246,-1.54791,3.0984,71,1
84,0.1,0.798684,-1.67489,0.775246,-1.54833,3.09839,57,1
85,0.1,-1.54071,0.0330882,-1.54852,0.00027573,2.47855,73,1
86,0.1,-1.09575,-0.78329,-0.775442,-0.775478,1.23971,86,1
87,0.1,-1.34028,-0.864489,-1.54809,-0.775427,3.0984,73,1
