Nr,s1,s2,x1_start,x2_start,x1_opt,x2_opt,f_opt,f_calls,flag
1,0.1,0.1,-0.122369,-0.233294,1.91032e-07,-0.00400461,0.000510613,149,2
2,0.1,0.1,0.747769,0.587436,0.774716,0.771121,1.24008,167,2
3,0.1,0.1,0.641675,-0.819507,0.774716,-0.77471,1.23967,249,2
4,0.1,0.1,-0.293411,0.0106204,-3.37684e-07,0.00178156,0.000101065,167,2
5,0.1,0.1,-0.771021,0.855673,-0.774716,0.774423,1.23968,237,2
6,0.1,0.1,0.0539243,0.913231,-6.67151e-07,0.775507,0.619857,157,2
7,0.1,0.1,-0.864319,-0.924284,-0.774715,-0.763929,1.24329,233,2
8,0.1,0.1,0.118558,-0.339506,2.01112e-07,1.93e-07,2.47402e-12,333,2
9,0.1,0.1,0.00952702,0.317265,-9.96202e-08,0.000345225,3.795e-06,179,2
10,0.1,0.1,0.487395,-0.954823,0.774716,-0.784112,1.24244,139,2
11,0.1,0.1,0.516875,-0.655921,0.774716,-0.741276,1.27382,231,2
12,0.1,0.1,-0.498466,0.164743,-0.774716,0.00564383,0.620851,201,2
13,0.1,0.1,0.926601,0.463902,0.774717,0.772741,1.2398,161,2
14,0.1,0.1,-0.0548327,0.817545,4.18461e-07,0.77494,0.619839,163,2
15,0.1,0.1,-0.216059,-0.0413666,3.02817e-07,-0.00601123,0.00115042,183,2
16,0.1,0.1,0.517151,-0.408429,0.774716,0.00237007,0.620016,233,2
17,0.1,0.1,0.266066,-0.83129,1.03038e-06,-0.774716,0.619837,193,2
18,0.1,0.1,0.459982,0.112207,0.774715,0.00614124,0.621038,233,2
19,0.1,0.1,0.737886,0.221812,0.774717,0.0129733,0.625192,225,2
20,0.1,0.1,-0.582699,-0.444344,-0.774715,-0.0175673,0.629649,111,2
21,0.1,0.1,0.239544,-0.607671,5.98921e-07,-0.76677,0.6218,209,2
22,0.1,0.1,-0.62853,0.53979,-0.774716,0.769079,1.24066,199,2
23,0.1,0.1,-0.91607,-0.979419,-0.774715,-0.774099,1.23969,145,2
24,0.1,0.1,0.399563,0.935009,0.774715,0.774706,1.23967,227,2
25,0.1,0.1,0.204967,0.93417,-5.33506e-07,0.748815,0.640446,149,2
26,0.1,0.1,-0.800796,-0.197907,-0.774716,0.00209304,0.619977,181,2
27,0.1,0.1,0.867549,0.737707,0.774716,0.737707,1.28136,189,2
28,0.1,0.1,0.994075,0.729096,0.774716,0.769189,1.24063,147,2
29,0.1,0.1,-0.1888,-0.203619,5.00123e-07,-0.00361908,0.000417037,171,2
